date,open,high,low,close,volume,amount
2009-01-13,8474.6104,8584.6797,8325.5898,8448.5596,304050000,2571760000000
2009-01-14,8446.0098,8446.0098,8097.9502,8200.1396,355050000,2946040000000
2009-01-15,8196.2402,8326.0596,7949.6499,8212.4902,436660000,3568000000000
2009-01-16,8215.6699,8424.5898,8086.0098,8281.2197,439360000,3625540000000
2009-01-20,8279.6299,8309.0195,7920.6602,7949.0898,419200000,3401640000000
2009-01-21,7949.1699,8286.4004,7890.6299,8228.0996,410040000,3316640000000
2009-01-22,8224.4297,8239.3301,7925.75,8122.7998,420040000,3414120000000
2009-01-23,8108.79,8187.8799,7856.8599,8077.5601,370510000,2985490000000
2009-01-26,8078.04,8278.1201,7971.1499,8116.0298,316720000,2568860000000
2009-01-27,8117.3901,8264.0996,8042.6001,8174.73,247750000,2019090000000
2009-01-28,8175.9302,8446.3301,8175.9302,8375.4502,357940000,2968540000000
2009-01-29,8373.0596,8373.0596,8092.1401,8149.0098,247450000,2040670000000
2009-01-30,8149.0098,8243.9502,7924.8799,8000.8599,303160000,2449430000000
2009-02-02,8000.6201,8053.4302,7796.1699,7936.8301,293890000,2335470000000
2009-02-03,7936.9902,8157.1299,7855.1899,8078.3599,313090000,2506890000000
2009-02-04,8070.3198,8197.04,7899.79,7956.6602,345520000,2774850000000
2009-02-05,7954.8301,8138.6499,7811.7002,8063.0698,390980000,3124740000000
2009-02-06,8056.3799,8360.0703,8044.0298,8280.5898,396380000,3244480000000
2009-02-09,8281.3799,8376.5596,8137.7002,8270.8701,289280000,2391370000000
2009-02-10,8269.3604,8293.1699,7835.8301,7888.8799,449890000,3631430000000
2009-02-11,7887.0498,8042.3599,7820.1401,7939.5298,270280000,2141230000000
2009-02-12,7931.9702,7956.02,7662.04,7932.7598,331960000,2612760000000
2009-02-13,7933.0,8005.96,7811.3799,7850.4102,251960000,1990530000000
2009-02-17,7845.6299,7845.6299,7502.5898,7552.6001,332850000,2558490000000
2009-02-18,7546.3501,7661.5601,7451.3701,7555.6299,268220000,2026060000000
2009-02-19,7555.23,7679.0098,7420.6299,7465.9502,301480000,2270210000000
2009-02-20,7461.4902,7500.4399,7226.29,7365.6699,584900000,4321520000000
2009-02-23,7365.9902,7477.1001,7092.6401,7114.7798,406150000,2949720000000
2009-02-24,7115.3398,7396.3398,7077.3501,7350.9399,468010000,3386050000000
2009-02-25,7349.5801,7442.1299,7123.9399,7270.8901,450270000,3285460000000
2009-02-26,7269.0601,7451.1299,7135.25,7182.0801,321300000,2332440000000
2009-02-27,7180.9702,7244.6099,6952.0601,7062.9302,667950000,4749220000000
2009-03-02,7056.48,7056.48,6736.6899,6763.29,568670000,3925660000000
2009-03-03,6764.8101,6922.5898,6661.7402,6726.02,445280000,3014010000000
2009-03-04,6726.5,7012.1899,6715.1099,6875.8398,464830000,3175910000000
2009-03-05,6874.0098,6874.0098,6531.2798,6594.4399,509770000,3424860000000
2009-03-06,6595.1602,6776.4399,6443.27,6626.9399,425170000,2810570000000
2009-03-09,6625.7402,6758.4399,6440.0801,6547.0498,365990000,2412910000000
2009-03-10,6547.0098,6951.5,6547.0098,6926.4902,640020000,4315660000000
2009-03-11,6923.1299,7078.2202,6804.5498,6930.3999,524430000,3636440000000
2009-03-12,6932.3901,7198.25,6840.79,7170.0601,488690000,3438120000000
2009-03-13,7219.2002,7241.98,7106.3398,7223.98,479010000,3447850000000
2009-03-16,7225.3301,7428.75,7171.4102,7216.9702,586970000,4261760000000
2009-03-17,7218.0,7407.4102,7129.6001,7395.7002,391880000,2855900000000
2009-03-18,7395.7002,7592.0298,7218.2402,7486.5801,584110000,4335930000000
2009-03-19,7489.6802,7624.4502,7325.1299,7400.7998,559920000,4177010000000
2009-03-20,7402.3101,7524.8101,7215.77,7278.3799,672950000,4949760000000
2009-03-23,7279.25,7789.2402,7279.25,7775.8599,515600000,3882930000000
2009-03-24,7773.4702,7837.1099,7585.98,7660.21,379670000,2928850000000
